college,category,name,player_name,stat_name,stat_value,story,class_position,opponent_score
Appalachian St,player,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Appalachian St,team,Team Poster,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Appalachian St,no image,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Appalachian St,nostalgia,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Arkansas,player,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Arkansas,team,Team Poster,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Arkansas,no image,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Arkansas,nostalgia,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Richmond,player,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Richmond,team,Team Poster,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Richmond,no image,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Richmond,nostalgia,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
UTSA,player,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
UTSA,team,Team Poster,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
UTSA,no image,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
UTSA,nostalgia,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
East Carolina,player,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
East Carolina,team,Team Poster,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
East Carolina,no image,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
East Carolina,nostalgia,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Illinois,player,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Illinois,team,Team Poster,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Illinois,no image,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Illinois,nostalgia,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Idaho St,player,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Idaho St,team,Team Poster,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Idaho St,no image,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
Idaho St,nostalgia,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
San Jose,player,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
San Jose,team,Team Poster,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
San Jose,no image,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
San Jose,nostalgia,Jordan Miles,Jordan Miles,Rushing Yards,142,Career-high rushing night,Senior | RB,vs. Rival | 31-24
